Date,canada_cases,japan_cases,italy_cases,uk_cases,germany_cases,france_cases,canada_1lag,japan_1lag,italy_1lag,uk_1lag,germany_1lag,france_1lag,canada_2lag,japan_2lag,italy_2lag,uk_2lag,germany_2lag,france_2lag,canada_3lag,japan_3lag,italy_3lag,uk_3lag,germany_3lag,france_3lag,canada_ma,japan_ma,italy_ma,uk_ma,germany_ma,france_ma,canada_pt,japan_pt,italy_pt,uk_pt,germany_pt,france_pt,dow,Canada_Outdoor_Mobility,Canada_indoorMobility,Germany_Outdoor_Mobility,Germany_indoorMobility,France_Outdoor_Mobility,France_indoorMobility,Japan_Outdoor_Mobility,Japan_indoorMobility,Italy_Outdoor_Mobility,Italy_indoorMobility,United_Kingdom_Outdoor_Mobility,United_Kingdom_indoorMobility,temp_canada,temp_uk,temp_italy,temp_japan,temp_germany,temp_france
2020-04-30T00:00:00.000+0000,1592,193,1872,5903,1470,671,1715,159,2086,4076,1627,2512,1534,417,2091,3996,1154,3016,1583,712,1739,4309,988,3742,1594,364.85714285714283,2212.8571428571427,4720.857142857143,1411.4285714285713,1966,1.2775085389570273,1.124131368844505,0.5003909612958538,1.5436924736074011,0.659378314382457,-0.010366391479346588,5,-44,23,-30,12,-66,28,-25,16,-68,26,-61,27,48.967307692307706,52.59615384615385,60.11153846153844,60.185897435897424,57.194339622641515,54.45
2020-05-01T00:00:00.000+0000,1885,217,1965,5903,1068,0,1592,193,1872,5903,1470,671,1715,159,2086,4076,1627,2512,1534,417,2091,3996,1154,3016,1631.857142857143,330,2062,4794.714285714285,1296.857142857143,1736,1.5443101417216527,1.230132521399973,0.5510450430830325,1.5436924736074011,0.34927275457651197,-1.017298777731317,6,-37,23,-53,28,-82,42,-26,19,-84,41,-57,27,49.15528846153845,52.09807692307691,61.42692307692308,60.571794871794886,55.78199999999997,52.8
2020-05-02T00:00:00.000+0000,1583,266,1900,4806,890,1212,1885,217,1965,5903,1068,0,1592,193,1872,5903,1470,671,1715,159,2086,4076,1627,2512,1650.5714285714287,310.57142857142856,1996.7142857142858,4779.428571428572,1207.7142857142858,1672.5714285714287,1.2687813729337276,1.397490000666606,0.5158543320170529,1.2639282525720343,0.18224939632554077,0.4962024168268848,7,-37,14,-34,9,-68,21,-31,15,-70,23,-56,17,49.88557692307693,52.77884615384615,60.61346153846155,60.44871794871796,55.38039215686275,45.4
2020-05-03T00:00:00.000+0000,2025,306,1389,4339,697,296,1583,266,1900,4806,890,1212,1885,217,1965,5903,1068,0,1592,193,1872,5903,1470,671,1702.4285714285713,324.2857142857143,1863.142857142857,4761.714285714285,1127.7142857142858,1635.5714285714287,1.6610446143802895,1.4979370331702002,0.20142733020394704,1.12748635344232,-0.024295458664703614,-0.505075280289661,1,-38,11,-23,6,-71,16,-35,12,-74,21,-59,14,50.77246376811591,52.694,59.94901960784314,60.415999999999976,55.44166666666667,45.75
2020-05-04T00:00:00.000+0000,1453,201,1221,3985,488,614,2025,306,1389,4339,697,296,1583,266,1900,4806,890,1212,1885,217,1965,5903,1068,0,1683.857142857143,251.28571428571428,1789.142857142857,4715.428571428572,1056.2857142857142,1188.7142857142858,1.138813954405184,1.1615507816807062,0.08114615037671902,1.0158607004701279,-0.2832245098914467,-0.07654157374516767,2,-40,20,-28,11,-64,26,-32,29,-55,18,-54,24,50.62692307692306,53.47307692307691,60.274999999999984,60.22692307692307,53.47346938775509,49.599999999999994
2020-05-05T00:00:00.000+0000,1258,175,1075,4406,855,1049,1453,201,1221,3985,488,614,2025,306,1389,4339,697,296,1583,266,1900,4806,890,1212,1644.4285714285713,216.71428571428572,1644,4774,1013.5714285714286,907.7142857142857,0.9289763830321863,1.031350059835722,-0.031365615362445885,1.147787563199994,0.1468771802979273,0.36383117962314243,3,-35,20,-25,12,-63,27,-35,29,-55,19,-53,25,50.40961538461535,54.215384615384615,60.70769230769232,60.06410256410256,54.931999999999995,56
2020-05-06T00:00:00.000+0000,1479,0,1444,5903,1155,3530,1258,175,1075,4406,855,1049,1453,201,1221,3985,488,614,2025,306,1389,4339,697,296,1610.7142857142858,194,1552.2857142857142,5035,946.1428571428571,1053.142857142857,1.1654083498271381,-1.1103195453342432,0.23882343349162674,1.5436924736074011,0.4237056906541389,1.4310886143007153,4,-33,20,-20,11,-61,24,-38,30,-56,20,-50,25,50.84182692307688,54.10000000000001,61.43076923076921,60.37948717948721,57.45111111111112,53.5
2020-05-07T00:00:00.000+0000,1507,224,1401,5614,1268,575,1479,0,1444,5903,1155,3530,1258,175,1075,4406,855,1049,1453,201,1221,3985,488,614,1598.5714285714287,198.42857142857142,1485,4993.714285714285,917.2857142857143,1039.4285714285713,1.193706284308722,1.2577308137446357,0.2096668826023348,1.4749382342562314,0.5140208060386129,-0.12351799355656036,5,-35,21,-19,11,-60,25,-24,14,-55,20,-49,25,50.87067307692307,53.95769230769229,61.642307692307696,60.41538461538463,57.6,55.099999999999994
2020-05-08T00:00:00.000+0000,1473,98,1327,4649,1158,1278,1507,224,1401,5614,1268,575,1479,0,1444,5903,1155,3530,1258,175,1075,4406,855,1049,1539.7142857142858,181.42857142857142,1393.857142857143,4814.571428571428,930.1428571428571,1222,1.159298564314666,0.45014158832211143,0.15812459575273938,1.219347085480235,0.42619406296581824,0.5456599530122549,6,-35,22,-17,11,-72,38,-24,16,-54,21,-54,30,50.09999999999999,53.88846153846154,62.51923076923078,59.76153846153847,58.344444444444434,54.7
2020-05-09T00:00:00.000+0000,1244,88,1083,3896,736,440,1473,98,1327,4649,1158,1278,1507,224,1401,5614,1268,575,1479,0,1444,5903,1155,3530,1491.2857142857142,156,1277.142857142857,4684.571428571428,908.1428571428571,1111.7142857142858,0.9131633626451936,0.34462768083853146,-0.024996100737442527,0.9865842372850413,0.019783272505770513,-0.29760493353601924,7,-36,13,-15,5,-64,19,-32,13,-53,15,-52,17,50.4581730769231,53.226923076923065,62.89038461538462,59.74358974358973,58.232,52.7
